Month,Coal,Natural Gas,Aviation Gasoline,Distillate Fuel Oil,Hydrocarbon Gas Liquids,Jet Fuel,Kerosene,Lubricants,Motor Gasoline,Petroleum Coke,Residual Fuel Oil,Other Petroleum Products,"Petroleum, Excluding Biofuels",Total Energy
1973 January,108.289,125.876,0.428,54.578,11.327,13.778,5.16,1.039,70.901,4.735,50.561,8.473,220.979,455.143
1973 February,97.698,114.03,0.432,51.231,9.325,12.225,4.421,1.027,67.377,3.897,46.682,7.433,204.05,415.778
1973 March,97.366,107.982,0.459,43.997,7.497,12.325,2.551,1.107,75.482,4.253,47.094,8.382,203.147,408.495
1973 April,93.084,98.127,0.446,33.618,6.635,12.144,2.006,0.981,73.367,4.08,36.613,7.961,177.851,369.062
1973 May,94.346,92.333,0.549,35.224,6.75,13.792,1.682,1.159,80.052,4.535,38.514,8.413,190.67,377.348
1973 June,97.757,81.92,0.471,30.852,5.736,12.07,1.447,1.008,78.103,4.757,38.566,8.558,181.568,361.244
1973 July,103.165,83.144,0.42,30.684,5.783,12.975,1.887,1.222,81.395,4.689,36.901,8.787,184.743,371.052
1973 August,105.391,84.385,0.668,33.677,6.805,12.99,1.864,1.189,84.101,4.891,42.138,8.874,197.196,386.972
1973 September,98.293,81.399,0.462,34.111,6.696,12.841,2.269,1.042,73.806,4.237,39.596,8.034,183.094,362.787
1973 October,101.062,90.986,0.55,38.627,8.279,13.667,2.281,1.283,77.383,5.018,39.614,8.321,195.022,387.07
1973 November,101.469,101.648,0.475,44.744,8.987,12.302,3.759,1.137,76.524,4.299,46.684,7.653,206.564,409.681
1973 December,108.752,116.595,0.413,48.656,8.789,13.457,3.028,1.124,72.282,4.436,44.993,7.995,205.172,430.519
1974 January,107.139,120.032,0.442,50.57,9.798,11.101,3.959,1.177,67.27,4.411,46.393,7.916,203.038,430.209
1974 February,96.905,110.401,0.304,45.838,7.931,9.633,3.225,0.981,63.853,3.945,41.285,7.209,184.204,391.51
1974 March,98.375,107.589,0.578,41.721,7.391,11.839,2.262,1.106,71.414,4.62,39.051,7.487,187.47,393.434
1974 April,93.422,90.841,0.446,36.391,6.838,11.264,1.599,1.057,72.419,3.978,36.025,7.915,177.93,362.194
1974 May,96.6,86.148,0.463,32.296,6.215,13.013,0.906,1.173,78.176,3.729,34.542,8.043,178.556,361.305
1974 June,94.959,77.064,0.528,30.321,6.404,11.382,1.411,0.921,77.604,4.024,35.566,8.361,176.523,348.545
1974 July,103.645,81.006,0.48,30.431,6.221,12.739,1.584,1.125,80.653,3.981,37.817,9.293,184.324,368.975
1974 August,103.898,80.722,0.641,30.432,6.361,12.758,1.788,1.016,81.839,4.067,38.67,9.169,186.741,371.36
1974 September,94.504,82.068,0.468,30.438,7.013,13.281,1.696,1.096,71.641,4.387,36.623,8.17,174.812,351.384
1974 October,99.071,91.157,0.557,38.061,7.997,12.517,2.445,1.128,77.791,3.752,39.917,8.625,192.79,383.018
1974 November,95.473,97.742,0.409,40.274,8.406,12.356,2.405,0.98,73.424,4.042,43.421,8.196,193.913,387.127
1974 December,101.365,112.891,0.348,50.806,9.242,12.924,3.104,0.994,76.003,4.352,45.64,8.223,211.635,425.892
1975 January,106.38,120.377,0.342,52.238,9.335,12.933,2.794,1.02,71.923,4.317,49.729,8.142,212.773,439.53
1975 February,97.838,104.054,0.365,45.289,7.364,12.038,2.902,0.717,63.814,3.929,39.346,6.84,182.603,384.496
1975 March,100.521,102.066,0.362,43.388,7.538,12.168,2.125,0.731,73.312,3.895,40.778,7.432,191.729,394.316
