State_name,State_abb,State_FIPS,Estimate_year,x65_happening,x67_human,x73_consensus,x78_worried,x82_harmUS,x129_regulate,x130_supportRPS
Alaska,AK,2,2013,61.5,43.6,38.6,45.9,45.8,57.7,46.5
Alabama,AL,1,2013,56.6,41.9,33.7,44.7,46.6,60.8,48.6
Arkansas,AR,5,2013,56.8,42,34.6,46.1,47.2,62,50.4
Arizona,AZ,4,2013,63.6,46.7,43.2,53,54.2,65.6,55.3
California,CA,6,2013,70.1,52.5,49.8,61,60.7,71.3,60.2
Colorado,CO,8,2013,65.8,48.2,45.6,53.6,54.2,67.6,56.7
Connecticut,CT,9,2013,66.3,49.3,45.4,55.4,56,70.5,60.5
District of Columbia,DC,11,2013,81.4,59.7,65,69.7,68.6,80.7,68.6
Delaware,DE,10,2013,65.7,48.8,45.2,53.7,55.2,69.9,56.8
Florida,FL,12,2013,64.1,47.6,42.8,53.5,55.1,67.4,55.8
Georgia,GA,13,2013,63.1,45.6,38.9,51.4,53,66.1,53.8
Hawaii,HI,15,2013,74.7,55.9,53.6,64.4,64,73.4,61.5
Iowa,IA,19,2013,60.9,45.3,39.5,49,49.3,66.2,56
Idaho,ID,16,2013,57.8,41.9,35,47,47.4,62.4,51.1
Illinois,IL,17,2013,67.2,49.4,43.3,54.5,55.2,70.1,56
Indiana,IN,18,2013,58.7,44.4,36.9,44.9,47.7,63.4,49.1
Kansas,KS,20,2013,58.1,43.2,35.5,46.4,47.1,62.2,53.1
Kentucky,KY,21,2013,56.5,42.1,34.8,44.7,46.2,61.1,49.5
Louisiana,LA,22,2013,57.5,42.4,34.3,44.2,46,59.8,47.4
Massachusetts,MA,25,2013,69.1,50.4,52.3,57.3,57.7,71.1,62.3
Maryland,MD,24,2013,68.8,49.8,46.5,57,56.9,71.4,58.2
Maine,ME,23,2013,64.3,47.4,46.5,52.1,53.9,68.5,59.4
Michigan,MI,26,2013,61.9,46.4,38.4,49.4,51.5,68.2,53.5
Minnesota,MN,27,2013,62.9,46.3,43.8,50.1,50.6,66.3,57
Missouri,MO,29,2013,60,44.5,38.5,48.5,49.4,65.2,55.4
Mississippi,MS,28,2013,59,43,34.8,48.6,49.9,64.6,51.9
Montana,MT,30,2013,60.1,44,37.8,46.5,46.7,63.3,50.3
North Carolina,NC,37,2013,62.3,45.7,41.9,51,52.6,66.6,54.2
North Dakota,ND,38,2013,56.3,42.3,33.6,40.5,41.1,57.5,46.9
Nebraska,NE,31,2013,58,42.9,35.7,46.5,47,62.6,53.4
New Hampshire,NH,33,2013,61.8,46,41.8,50.5,51.3,67.6,57.6
New Jersey,NJ,34,2013,67.7,49.4,46.5,57.9,56.7,70.4,58.5
New Mexico,NM,35,2013,66,51,44.8,54.4,55.9,66.4,54.5
Nevada,NV,32,2013,64.5,48.4,42.1,53.9,54.9,68.1,55.6
New York,NY,36,2013,71.8,51.2,48.9,61.7,59,72.6,60.5
Ohio,OH,39,2013,59.9,44.9,38.8,47.1,49.7,65.8,51.6
Oklahoma,OK,40,2013,56.7,41.9,34.7,45.2,47.1,59.3,49.5
Oregon,OR,41,2013,66.9,48.4,47.9,56,55.7,69.8,58.9
Pennsylvania,PA,42,2013,62.6,46.1,40.1,51.5,51.1,67.4,54.2
Rhode Island,RI,44,2013,66,49.5,47.8,55.6,56.6,71.1,61.2
South Carolina,SC,45,2013,59.6,43.7,36,48.2,49.6,64.6,51.1
South Dakota,SD,46,2013,59.1,43.4,36.5,48.2,48.1,64.3,54.8
Tennessee,TN,47,2013,58,42.9,36,47.5,49.1,63.6,52.2
Texas,TX,48,2013,62.6,46.9,40.1,52.7,53.7,64.3,54.2
Utah,UT,49,2013,58.9,42.4,36.7,46.7,47.6,61,50.7
Virginia,VA,51,2013,64.2,46.8,42.2,52.7,53,67.8,55
Vermont,VT,50,2013,68.1,50.2,50.3,56.1,56.5,72,62.4
Washington,WA,53,2013,67.4,48.9,48,56.5,56.4,69.9,59.1
Wisconsin,WI,55,2013,61.7,46.1,40.8,48.9,50.5,67.4,53
West Virginia,WV,54,2013,54.4,41.5,32.6,40.2,42.1,57.9,44.2
Wyoming,WY,56,2013,54.6,40.2,32,38.8,40,54.2,42.3
