,State_name,State_abb,State_FIPS,County_name,County_FIPS,Estimate_year,x65_happening,x67_human,x73_consensus,x78_worried,x82_harmUS,x129_regulate,x130_supportRPS
36,Alabama,AL,1,"Jackson County, Alabama",1071,2013,47.5,36.6,27.2,42.6,44.6,56.2,45.5
65,Alabama,AL,1,"Washington County, Alabama",1129,2013,47.5,35.6,26.3,43.8,46.4,54.1,43
64,Alabama,AL,1,"Walker County, Alabama",1127,2013,49.8,38.1,29.4,43,44.8,58,46.7
42,Alabama,AL,1,"Limestone County, Alabama",1083,2013,49.9,40.5,29.8,41,43.8,57.9,46.5
28,Alabama,AL,1,"Etowah County, Alabama",1055,2013,50.9,37.2,29.5,40.5,43.7,59.5,46.5
66,Alabama,AL,1,"Wilcox County, Alabama",1131,2013,51,36.2,28,48.2,50.6,55.3,43.5
67,Alabama,AL,1,"Winston County, Alabama",1133,2013,51.4,37.6,29,40.1,42.2,58,44.9
38,Alabama,AL,1,"Lamar County, Alabama",1075,2013,52.3,38.4,29.2,40.9,43.4,59.2,46
17,Alabama,AL,1,"Colbert County, Alabama",1033,2013,52.4,39,29.1,42.2,44.6,58.3,46.2
29,Alabama,AL,1,"Fayette County, Alabama",1057,2013,52.6,38.6,29.5,41.2,43.7,59.2,46.1
47,Alabama,AL,1,"Marion County, Alabama",1093,2013,52.7,39.7,30.6,41.9,43.9,59.6,46.9
10,Alabama,AL,1,"Cherokee County, Alabama",1019,2013,53.1,38.2,30.5,41.2,42.9,58.4,45.4
11,Alabama,AL,1,"Chilton County, Alabama",1021,2013,53.1,39.7,31.8,43.6,45.5,59.6,47.4
22,Alabama,AL,1,"Cullman County, Alabama",1043,2013,53.2,39.3,32.3,43.1,44.5,59.8,47.7
34,Alabama,AL,1,"Henry County, Alabama",1067,2013,53.2,38.4,29.1,41.2,44.6,59.4,46.4
4,Alabama,AL,1,"Bibb County, Alabama",1007,2013,53.3,38,29.5,41.1,43.7,58.4,44.9
32,Alabama,AL,1,"Greene County, Alabama",1063,2013,53.5,36.2,29.5,49.5,51.7,55.3,43.1
7,Alabama,AL,1,"Butler County, Alabama",1013,2013,53.7,38.4,28.6,41.8,45.6,59.9,46.3
19,Alabama,AL,1,"Coosa County, Alabama",1037,2013,53.8,38.2,29.2,41.8,44.8,58.9,45.1
35,Alabama,AL,1,"Houston County, Alabama",1069,2013,53.9,39.3,30.6,42.3,45.3,59.9,47.8
58,Alabama,AL,1,"St. Clair County, Alabama",1115,2013,53.9,39.9,30.9,42.4,44.6,60.5,48.3
40,Alabama,AL,1,"Lawrence County, Alabama",1079,2013,54,41.4,31,43.5,46,61,49.1
31,Alabama,AL,1,"Geneva County, Alabama",1061,2013,54.3,40.1,30.6,42.2,44.2,59.7,46.3
13,Alabama,AL,1,"Clarke County, Alabama",1025,2013,54.6,39.4,30.4,43.5,46.8,61.1,47.6
8,Alabama,AL,1,"Calhoun County, Alabama",1015,2013,54.7,42.1,32,44.2,46.2,61.4,49
30,Alabama,AL,1,"Franklin County, Alabama",1059,2013,54.7,41.4,32.7,45.2,46.3,61.3,48.6
26,Alabama,AL,1,"Elmore County, Alabama",1051,2013,54.8,40.2,31.9,42.6,45.2,60.1,48.1
27,Alabama,AL,1,"Escambia County, Alabama",1053,2013,54.9,41,31.7,44.6,46.7,60.4,47.2
48,Alabama,AL,1,"Marshall County, Alabama",1095,2013,54.9,42.2,33.1,44.6,45.6,60.6,47.9
9,Alabama,AL,1,"Chambers County, Alabama",1017,2013,55,39.1,30.2,43.1,46,60.3,46.6
